Daniel Correa,dcorrea@servientrega.com,fkeNEE78,1468465,company_admin,1,
Yuan Martinez,ymartinez@dhl.com,fkeNEE78,1468466,company_admin,2,
Karen Cifuentes,kcifuentes@tcc.com,fkeNEE78,1468467,company_admin,4,
Sofia Cifuentes,scifuentes@asap.com,fkeNEE78,1468468,company_admin,3,
Adrian Martinez,amartinez_wadmin@servientrega.com,fkeNEE78,1468469,warehouse_admin,1,1
Pedro Rojas,projas_wadmin@dhl.com,fkeNEE78,1468470,warehouse_admin,2,6
Margarita Paredes,mparedes_wadmin@tcc.com,fkeNEE78,1468471,warehouse_admin,4,3
Daniel Gomez ,dgomez_wadmin@asap.com,fkeNEE78,1468472,warehouse_admin,3,2
Cesar García,cgarcia_courier@dhl.com,fkeNEE78,1468473,courier,2,6
Mauricio Toro,mtoro_courier@servientrega.com,fkeNEE78,1468474,courier,1,1
Leandro Paredes,lparedes_courier@tcc.com,fkeNEE78,1468475,courier,4,3
Juan Cuadrado,jcuadrado_courier@asap.com,fkeNEE78,1468476,courier,3,2
Pablo Mesa,pmesa_courier@servientrega.com,fkeNEE78,1468477,courier,1,1
Alveiro Perez,aperez_courier@servientrega.com,fkeNEE78,1468478,courier,1,4
Rosa Acevedo,racevedo_courier@servientrega.com,fkeNEE78,1468479,courier,1,5
Cesar Posada,cposada_courier@dhl.com,fkeNEE78,1468480,courier,2,7
